step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,residual_action_mean_norm,final_action_mean_norm,base_action_mean_norm,residual_action_max_norm,mean_abs_yaw_error,done_count,no_nan_inf
1,0.022244587540626526,0.9777553081512451,0.0,1.0498050451278687,0.8918578624725342,0.9142557978630066,1.3388910293579102,1.9985554218292236,0,True
2,0.035885654389858246,0.9681751728057861,0.0,1.8072706460952759,1.5642459392547607,1.5886073112487793,3.338090658187866,2.965672492980957,0,True
3,0.016751525923609734,0.9874277114868164,0.0,2.2095417976379395,0.9803587794303894,1.0152502059936523,3.388667106628418,4.207144737243652,0,True
4,-0.07183767110109329,1.0734056234359741,0.0,2.5344882011413574,0.8360122442245483,0.8687136173248291,3.6082231998443604,4.572380542755127,0,True
5,-0.0413079634308815,1.0413079261779785,0.0,2.555737257003784,0.9869935512542725,1.0189794301986694,3.4509739875793457,3.3840696811676025,0,True
6,-0.034373149275779724,1.034373164176941,0.0,2.178013324737549,1.1838045120239258,1.2121045589447021,3.463019371032715,2.4234848022460938,0,True
7,0.005190931260585785,0.9948090314865112,0.0,1.8966965675354004,1.378623604774475,1.4002569913864136,3.390268564224243,1.549034833908081,0,True
8,0.0660007894039154,0.9339991807937622,0.0,1.6528184413909912,1.6003010272979736,1.6144788265228271,3.769049882888794,0.8942368030548096,0,True
9,0.10685288906097412,0.8936967849731445,0.0,1.5347740650177002,1.7247724533081055,1.7352843284606934,3.674621820449829,0.5240317583084106,0,True
10,0.12272009998559952,0.8779495358467102,0.0,1.3849130868911743,1.7316765785217285,1.7361869812011719,3.534111261367798,0.4124513864517212,0,True
11,0.1323038786649704,0.8682875633239746,0.0,1.246544361114502,1.6710636615753174,1.6733825206756592,3.65374755859375,0.310802698135376,0,True
12,0.14340758323669434,0.8566844463348389,0.0,1.2429225444793701,1.6438136100769043,1.6474593877792358,3.5695159435272217,0.30712735652923584,0,True
13,0.16878733038902283,0.8315927386283875,0.0,1.2366743087768555,1.6429810523986816,1.6503112316131592,3.4195096492767334,0.2732229232788086,0,True
14,0.19000335037708282,0.8106178045272827,0.0,1.2125895023345947,1.5882256031036377,1.597182273864746,3.3611960411071777,0.2445501685142517,0,True
15,0.18819007277488708,0.8118098974227905,0.0,1.1694707870483398,1.5469151735305786,1.55613112449646,3.251847267150879,0.23925729095935822,0,True
16,0.20276007056236267,0.7980284690856934,0.0,1.217270851135254,1.5707303285598755,1.5833253860473633,3.0704126358032227,0.21630796790122986,0,True
17,0.22762852907180786,0.7723714709281921,0.0,1.2083022594451904,1.550801396369934,1.5645761489868164,2.942544460296631,0.24557462334632874,0,True
18,0.26521041989326477,0.7356885075569153,0.0,1.3303697109222412,1.6127464771270752,1.6300718784332275,2.955350637435913,0.214168518781662,0,True
19,0.28876250982284546,0.7171549797058105,0.0,1.2766566276550293,1.569518804550171,1.586287260055542,2.8150734901428223,0.255344033241272,0,True
20,0.2970731258392334,0.7076852321624756,0.0,1.2983957529067993,1.5700184106826782,1.5880167484283447,2.9436988830566406,0.25198894739151,0,True
21,0.30319344997406006,0.7005367279052734,0.0,1.3068721294403076,1.5241438150405884,1.5425630807876587,2.8421237468719482,0.25100547075271606,0,True
22,0.3380957543849945,0.6685055494308472,0.0,1.3789911270141602,1.560570240020752,1.58176851272583,3.2579052448272705,0.21787501871585846,0,True
23,0.35814031958580017,0.6445844173431396,0.0,1.3864893913269043,1.5454342365264893,1.5673480033874512,2.8600525856018066,0.2303093671798706,0,True
24,0.37996548414230347,0.6214102506637573,0.0,1.3669294118881226,1.490067481994629,1.5111035108566284,2.937880754470825,0.24255633354187012,0,True
25,0.399854838848114,0.6017402410507202,0.0,1.3543750047683716,1.4716737270355225,1.4925134181976318,3.156257152557373,0.25026899576187134,0,True
26,0.40335506200790405,0.5988691449165344,0.0,1.3409876823425293,1.4608376026153564,1.4816005229949951,2.722548484802246,0.2287389039993286,0,True
27,0.3979366421699524,0.6040911674499512,0.0,1.3646974563598633,1.4678075313568115,1.4894976615905762,3.895653486251831,0.21471834182739258,0,True
28,0.41241639852523804,0.5897992849349976,0.0,1.3684189319610596,1.489396095275879,1.5119225978851318,2.606194257736206,0.20945516228675842,0,True
29,0.434589684009552,0.5690173506736755,0.0,1.382081151008606,1.4824433326721191,1.505675196647644,3.13893985748291,0.23850056529045105,0,True
30,0.43133145570755005,0.5697976350784302,0.0,1.322429895401001,1.4865045547485352,1.5084023475646973,2.343749523162842,0.23023907840251923,0,True
31,0.45247724652290344,0.5480692982673645,0.0,1.3926749229431152,1.5381911993026733,1.5616471767425537,3.7861053943634033,0.21478688716888428,0,True
32,0.432556688785553,0.56747967004776,0.0,1.3287262916564941,1.5056568384170532,1.5280251502990723,2.6185462474823,0.20180562138557434,0,True
33,0.4478501081466675,0.5539081692695618,0.0,1.343470573425293,1.5265324115753174,1.5493366718292236,3.006911516189575,0.23867210745811462,0,True
34,0.46798545122146606,0.5368990302085876,0.0,1.379727840423584,1.5240753889083862,1.5481898784637451,3.401477813720703,0.245955690741539,0,True
35,0.4618222117424011,0.5444027781486511,0.0,1.3517413139343262,1.4856469631195068,1.5088281631469727,2.805295944213867,0.22736187279224396,0,True
36,0.48716917634010315,0.5179389715194702,0.0,1.3828351497650146,1.543777585029602,1.568258285522461,2.6889686584472656,0.21684801578521729,0,True
37,0.4845544099807739,0.5195045471191406,0.0,1.3651740550994873,1.5159356594085693,1.539963722229004,2.6569416522979736,0.21519170701503754,0,True
